timestamp,frame_id,class_name,confidence,x_min,y_min,x_max,y_max,car_count,truck_count,ambulance_count,fire_hydrant
2024-11-08 00:00:00,0,fire_hydrant,0.76,278,454,552,722,0,0,0,
2024-11-08 00:01:00,1,fire_hydrant,0.88,427,40,447,330,0,0,0,
2024-11-08 00:02:00,2,car,0.73,277,320,306,768,1,0,0,
2024-11-08 00:03:00,3,truck,0.97,71,99,542,526,0,1,0,
2024-11-08 00:04:00,4,truck,0.91,78,187,466,593,0,1,0,
2024-11-08 00:05:00,5,motorbike,0.66,447,396,617,770,0,0,0,
2024-11-08 00:06:00,6,ambulance,0.72,320,481,553,876,0,0,1,
2024-11-08 00:07:00,7,bus,0.99,248,121,701,161,0,0,0,
2024-11-08 00:08:00,8,bus,0.81,141,191,146,211,0,0,0,
2024-11-08 00:09:00,9,fire_hydrant,0.99,307,112,573,209,0,0,0,
2024-11-08 00:10:00,10,ambulance,0.89,432,319,527,603,0,0,1,
2024-11-08 00:11:00,11,ambulance,0.9,210,407,377,875,0,0,1,
2024-11-08 00:12:00,12,motorbike,0.79,157,207,236,281,0,0,0,
2024-11-08 00:13:00,13,car,0.9,51,299,535,342,1,0,0,
2024-11-08 00:14:00,14,fire_hydrant,0.68,435,358,639,772,0,0,0,
2024-11-08 00:15:00,15,motorbike,0.69,457,333,588,533,0,0,0,
2024-11-08 00:16:00,16,motorbike,0.63,62,208,345,604,0,0,0,
2024-11-08 00:17:00,17,ambulance,0.78,476,60,909,101,0,0,1,
2024-11-08 00:18:00,18,motorbike,0.63,69,261,462,567,0,0,0,
2024-11-08 00:19:00,19,car,0.89,206,431,386,464,1,0,0,
2024-11-08 00:20:00,20,motorbike,0.7,91,239,208,329,0,0,0,
2024-11-08 00:21:00,21,car,0.83,89,271,209,336,1,0,0,
2024-11-08 00:22:00,22,fire_hydrant,0.76,398,277,427,354,0,0,0,
2024-11-08 00:23:00,23,ambulance,0.68,431,343,905,575,0,0,1,
2024-11-08 00:24:00,24,ambulance,0.89,200,4,248,220,0,0,1,
2024-11-08 00:25:00,25,motorbike,0.72,458,72,577,79,0,0,0,
2024-11-08 00:26:00,26,ambulance,0.63,251,229,352,693,0,0,1,
2024-11-08 00:27:00,27,fire_hydrant,0.67,373,484,757,872,0,0,0,
2024-11-08 00:28:00,28,fire_hydrant,0.96,372,460,761,547,0,0,0,
2024-11-08 00:29:00,29,car,0.99,258,268,519,487,1,0,0,
2024-11-08 00:30:00,30,truck,0.91,172,401,381,866,0,1,0,
2024-11-08 00:31:00,31,fire_hydrant,0.95,484,428,831,871,0,0,0,
2024-11-08 00:32:00,32,truck,0.66,196,36,479,303,0,1,0,
2024-11-08 00:33:00,33,bus,0.82,473,34,874,59,0,0,0,
2024-11-08 00:34:00,34,bus,0.82,76,77,287,401,0,0,0,
2024-11-08 00:35:00,35,fire_hydrant,0.95,335,395,617,854,0,0,0,
2024-11-08 00:36:00,36,truck,0.91,228,422,441,434,0,1,0,
2024-11-08 00:37:00,37,motorbike,0.77,499,213,874,265,0,0,0,
2024-11-08 00:38:00,38,car,0.99,137,28,508,45,1,0,0,
2024-11-08 00:39:00,39,car,0.7,1,289,131,469,1,0,0,
2024-11-08 00:40:00,40,bus,0.92,87,132,347,491,0,0,0,
2024-11-08 00:41:00,41,motorbike,0.6,294,13,562,494,0,0,0,
2024-11-08 00:42:00,42,bus,0.74,490,377,731,442,0,0,0,
2024-11-08 00:43:00,43,fire_hydrant,0.96,156,182,614,293,0,0,0,
2024-11-08 00:44:00,44,motorbike,0.63,497,450,578,821,0,0,0,
2024-11-08 00:45:00,45,fire_hydrant,0.89,254,378,375,734,0,0,0,
2024-11-08 00:46:00,46,ambulance,0.9,218,425,226,775,0,0,1,
2024-11-08 00:47:00,47,ambulance,0.87,75,216,508,567,0,0,1,
2024-11-08 00:48:00,48,motorbike,0.92,134,356,433,530,0,0,0,
2024-11-08 00:49:00,49,truck,0.82,465,453,886,936,0,1,0,
2024-11-08 00:50:00,50,ambulance,0.77,53,483,380,719,0,0,1,
2024-11-08 00:51:00,51,motorbike,0.88,457,486,639,940,0,0,0,
2024-11-08 00:52:00,52,fire_hydrant,0.87,389,332,583,702,0,0,0,
2024-11-08 00:53:00,53,bus,0.62,256,115,376,224,0,0,0,
2024-11-08 00:54:00,54,motorbike,0.77,8,312,29,503,0,0,0,
2024-11-08 00:55:00,55,ambulance,0.81,401,376,749,412,0,0,1,
2024-11-08 00:56:00,56,truck,0.8,230,402,505,709,0,1,0,
2024-11-08 00:57:00,57,car,0.96,464,360,866,393,1,0,0,
2024-11-08 00:58:00,58,motorbike,0.71,201,88,520,420,0,0,0,
2024-11-08 00:59:00,59,fire_hydrant,0.67,400,30,525,469,0,0,0,
2024-11-08 01:00:00,60,ambulance,0.78,369,27,592,474,0,0,1,
2024-11-08 01:01:00,61,ambulance,0.83,268,324,415,647,0,0,1,
2024-11-08 01:02:00,62,motorbike,0.84,287,427,475,915,0,0,0,
2024-11-08 01:03:00,63,truck,0.91,197,36,385,314,0,1,0,
2024-11-08 01:04:00,64,motorbike,0.7,57,194,420,395,0,0,0,
2024-11-08 01:05:00,65,bus,0.85,483,262,596,620,0,0,0,
2024-11-08 01:06:00,66,truck,0.68,480,141,612,277,0,1,0,
2024-11-08 01:07:00,67,ambulance,0.87,222,14,353,27,0,0,1,
2024-11-08 01:08:00,68,car,0.85,161,471,445,788,1,0,0,
2024-11-08 01:09:00,69,car,0.79,250,429,409,772,1,0,0,
